25.5d 05.17 58.e9 5e.d4 ab.b2 cd.c6 9b.b4 54.11 0e.82 74.41 21.3d dc.87 70.e9 3e.a1 41.e1 fc.67 3e.01 7e.97 ea.dc 6b.96
00.38 00.2a 00.b0 3b.fb 32.af 3c.54 ec.18 db.5c 02.1a fe.43 fb.fa aa.3a fb.29 d1.e6 05.3c 7c.94 75.d8 be.61 89.f9 5c.bb
a8.99 0f.95 b1.eb f1.b3 05.ef f7.00 e9.a1 3a.e5 ca.0b cb.d0 48.47 64.bd 1f.23 1e.a8 1c.7b 64.c5 14.73 5a.c5 5e.4b 79.63
3b.70 64.24 11.9e 09.dc aa.d4 ac.f2 1b.10 af.3b 33.cd e3.50 48.47 15.5c bb.6f 22.19 ba.9b 7d.f5 0b.e1 1a.1c 7f.23 f8.29
f8.a4 1b.13 b5.ca 4e.e8 98.32 38.e0 79.4d 3d.34 bc.5f 4e.77 fa.cb 6c.05 ac.86 21.2b aa.1a 55.a2 be.70 b5.73 3b.04 5c.d3
36.94 b3.af e2.f0 e4.9e 4f.32 15.49 fd.82 4e.a9 08.70 d4.b2 8a.29 54.48 9a.0a bc.d5 0e.18 a8.44 ac.5b f3.8e 4c.d7 2d.9b
09.42 e5.06 c4.33 af.cd a3.84 7f.2d ad.d4 76.47 de.32 1c.ec 4a.c4 30.f6 20.23 85.6c fb.b2 07.04 f4.ec 0b.b9 20.ba 86.c3
3e.05 f1.ec d9.67 33.b7 99.50 a3.e3 14.d3 d9.34 f7.5e a0.f2 10.a8 f6.05 94.01 be.b4 bc.44 78.fa 49.69 e6.23 d0.1a da.69
6a.7e 4c.7e 51.25 b3.48 84.53 3a.94 fb.31 99.90 32.57 44.ee 9b.bc e9.e5 25.cf 08.f5 e9.e2 5e.53 60.aa d2.b2 d0.85 fa.54
d8.35 e8.d4 66.82 64.98 d9.a8 87.75 65.70 5a.8a 3f.62 80.29 44.de 7c.a5 89.4e 57.59 d3.51 ad.ac 86.95 80.ec 17.e4 85.f1
8c.0c 66.f1 7c.c0 7c.bb 22.fc e4.66 da.61 0b.63 af.62 bc.83 b4.69 2f.3a ff.af 27.16 93.ac 07.1f b8.6d 11.34 2d.8d ef.4f
89.d4 b6.63 35.c1 c7.e4 24.83 67.d8 ed.96 12.ec 45.39 02.d8 e5.0a f8.9d 77.09 d1.a5 96.c1 f4.1f 95.aa 82.ca 6c.49 ae.90
cd.16 68.ba ac.7a a6.f2 b4.a8 ca.99 b2.c2 37.2a cb.08 cf.61 c9.c3 80.5e 6e.03 28.da 4c.d7 6a.19 ed.d2 d3.99 4c.79 8b.00
